Legislation Number,Title,Sponsor,Date of Introduction
H.R. 6275,"To designate the facility of the United States Postal Service located at 45 Bay Street, Suite 2, in Staten Island, New York, as the ""Sergeant Angel Mendez Post Office"".","Grimm, Michael G. [Rep.-R-NY-13]",07/06/2011
H.R. 6276,"To designate the facility of the United States Postal Service located at 11 Dock Street in Pittston, Pennsylvania, as the ""Trooper Joshua D. Miller Post Office Building"".","Barletta, Lou [Rep.-R-PA-11]",07/06/2011
H.R. 6277,"To designate the facility of the United States Postal Service located at 600 Florida Avenue in Cocoa, Florida, as the ""Harry T. and Harriette Moore Post Office"".","Posey, Bill [Rep.-R-FL-15]",06/23/2011
H.R. 6278,"To promote the development of the Southwest waterfront in the District of Columbia, and for other purposes.","Norton, Eleanor Holmes [Del.-D-DC-At Large]",06/22/2011
H.R. 6279,"Airport and Airway Extension Act of 2011, Part III","Mica, John L. [Rep.-R-FL-7]",06/22/2011
H.R. 6280,"To designate the facility of the United States Postal Service located at 67 Castle Street in Geneva, New York, as the ""Corporal Steven Blaine Riccione Post Office"".","Hanna, Richard L. [Rep.-R-NY-24]",06/21/2011
H.R. 6281,Lowell National Historical Park Land Exchange Act of 2012,"Tsongas, Niki [Rep.-D-MA-5]",06/16/2011
H.R. 6282,"To designate the facility of the United States Postal Service located at 801 West Eastport Street in Iuka, Mississippi, as the ""Sergeant Jason W. Vaughn Post Office"".","Nunnelee, Alan [Rep.-R-MS-1]",06/16/2011
H.R. 6283,National Guard and Reservist Debt Relief Extension Act of 2011,"Cohen, Steve [Rep.-D-TN-9]",06/15/2011
H.R. 6284,"To designate the facility of the United States Postal Service located at 4354 Pahoa Avenue in Honolulu, Hawaii, as the ""Cecil L. Heftel Post Office Building"".","Hanabusa, Colleen W. [Rep.-D-HI-1]",06/13/2011
H.R. 6285,Lions Clubs International Century of Service Commemorative Coin Act,"Roskam, Peter J. [Rep.-R-IL-6]",06/03/2011
H.R. 6286,"Consolidated and Further Continuing Appropriations Act, 2012","Kingston, Jack [Rep.-R-GA-1]",06/03/2011
H.R. 6287,"To designate the facility of the United States Postal Service located at 10 Main Street in East Rockaway, New York, as the ""John J. Cook Post Office"".","McCarthy, Carolyn [Rep.-D-NY-4]",06/01/2011
H.R. 6288,Investigative Assistance for Violent Crimes Act of 2012,"Gowdy, Trey [Rep.-R-SC-4]",06/01/2011
H.R. 6289,Export-Import Bank Reauthorization Act of 2012,"Miller, Gary G. [Rep.-R-CA-42]",06/01/2011
H.R. 6290,"To designate the facility of the United States Postal Service located at 45 Meetinghouse Lane in Sagamore Beach, Massachusetts, as the ""Matthew A. Pucino Post Office"".","Keating, William R. [Rep.-D-MA-10]",05/31/2011
H.R. 6291,Civilian Service Recognition Act of 2011,"Hanna, Richard L. [Rep.-R-NY-24]",05/31/2011
H.R. 6292,"To instruct the Inspector General of the Federal Deposit Insurance Corporation to study the impact of insured depository institution failures, and for other purposes.","Westmoreland, Lynn A. [Rep.-R-GA-3]",05/31/2011
H.R. 6293,"Consolidated Appropriations Act, 2012","Culberson, John Abney [Rep.-R-TX-7]",05/31/2011
H.R. 6294,"Continuing Appropriations Act, 2012","Aderholt, Robert B. [Rep.-R-AL-4]",05/26/2011
H.R. 6295,Combating Autism Reauthorization Act of 2011,"Smith, Christopher H. [Rep.-R-NJ-4]",05/26/2011
H.R. 6296,"To designate the facility of the United States Postal Service located at 281 East Colorado Boulevard in Pasadena, California, as the ""First Lieutenant Oliver Goodall Post Office Building"".","Schiff, Adam B. [Rep.-D-CA-29]",05/24/2011
H.R. 6297,Iran Threat Reduction and Syria Human Rights Act of 2012,"Ros-Lehtinen, Ileana [Rep.-R-FL-18]",05/13/2011
H.R. 6298,"Airport and Airway Extension Act of 2011, Part II","Mica, John L. [Rep.-R-FL-7]",05/13/2011
H.R. 6299,Intelligence Authorization Act for Fiscal Year 2012,"Rogers, Mike J. [Rep.-R-MI-8]",05/13/2011
H.R. 6300,Medicare IVIG Access and Strengthening Medicare and Repaying Taxpayers Act of 2012,"Brady, Kevin [Rep.-R-TX-8]",05/11/2011
H.R. 6301,"To designate the facility of the United States Postal Service located at 489 Army Drive in Barrigada, Guam, as the ""John Pangelinan Gerber Post Office Building"".","Bordallo, Madeleine Z. [Del.-D-GU-At Large]",05/11/2011
H.R. 6302,Risk-Based Security Screening for Members of the Armed Forces Act,"Cravaack, Chip [Rep.-R-MN-8]",05/10/2011
H.R. 6303,"To designate the United States courthouse under construction at 101 South United States Route 1 in Fort Pierce, Florida, as the ""Alto Lee Adams, Sr., United States Courthouse"".","Rooney, Thomas J. [Rep.-R-FL-16]",05/05/2011
H.R. 6304,"To designate the facility of the United States Postal Service located at 5014 Gary Avenue in Lubbock, Texas, as the ""Sergeant Chris Davis Post Office"".","Neugebauer, Randy [Rep.-R-TX-19]",04/15/2011
H.R. 6305,Honoring America's Veterans and Caring for Camp Lejeune Families Act of 2012,"Miller, Jeff [Rep.-R-FL-1]",04/15/2011
H.R. 6306,To amend the Ysleta del Sur Pueblo and Alabama and Coushatta Indian Tribes of Texas Restoration Act to allow the Ysleta del Sur Pueblo Tribe to determine blood quantum requirement for membership in that tribe.,"Reyes, Silvestre [Rep.-D-TX-16]",04/14/2011
H.R. 6307,National Defense Authorization Act for Fiscal Year 2012,"McKeon, Howard P. ""Buck"" [Rep.-R-CA-25]",04/14/2011
H.R. 6308,"Department of Defense and Full-Year Continuing Appropriations Act, 2011","Rogers, Harold [Rep.-R-KY-5]",04/11/2011
H.R. 6309,North Korean Child Welfare Act of 2012,"Royce, Edward R. [Rep.-R-CA-40]",04/08/2011
H.R. 6310,"To designate the facility of the United States Postal Service located at 115 4th Avenue Southwest in Ardmore, Oklahoma, as the ""Specialist Micheal E. Phillips Post Office"".","Cole, Tom [Rep.-R-OK-4]",04/07/2011
H.R. 6311,To authorize the Architect of the Capitol to establish battery recharging stations for privately owned vehicles in parking areas under the jurisdiction of the House of Representatives at no net cost to the Federal Government.,"Kildee, Dale E. [Rep.-D-MI-5]",04/06/2011
H.R. 6312,Restoring GI Bill Fairness Act of 2011,"Miller, Jeff [Rep.-R-FL-1]",04/06/2011
H.R. 6313,"To designate the facility of the United States Postal Service located at 1021 Pennsylvania Avenue in Hartshorne, Oklahoma, as the ""Warren Lindley Post Office"".","Boren, Dan [Rep.-D-OK-2]",04/05/2011
H.R. 6314,"Further Additional Continuing Appropriations Amendments, 2011","Rogers, Harold [Rep.-R-KY-5]",04/04/2011
H.R. 6315,"To designate the City of Salem, Massachusetts, as the Birthplace of the National Guard of the United States.","Tierney, John F. [Rep.-D-MA-6]",04/01/2011
H.R. 6316,"To amend the Ronald Reagan Centennial Commission Act to extend the termination date for the Commission, and for other purposes.","Gallegly, Elton [Rep.-R-CA-24]",04/01/2011
H.R. 6317,Minnesota Chippewa Tribe Judgment Fund Distribution Act of 2012,"Peterson, Collin C. [Rep.-D-MN-7]",03/30/2011
H.R. 6318,"To designate the property between the United States Federal Courthouse and the Ed Jones Building located at 109 South Highland Avenue in Jackson, Tennessee, as the ""M.D. Anderson Plaza"" and to authorize the placement of a historical/identification marker on the grounds recognizing the achievements and philanthropy of M.D. Anderson.","Fincher, Stephen Lee [Rep.-R-TN-8]",03/30/2011
H.R. 6319,Leahy-Smith America Invents Act,"Smith, Lamar [Rep.-R-TX-21]",03/30/2011
H.R. 6320,"To provide the Quileute Indian Tribe Tsunami and Flood Protection, and for other purposes.","Dicks, Norman D. [Rep.-D-WA-6]",03/17/2011
H.R. 6321,Airport and Airway Extension Act of 2011,"Mica, John L. [Rep.-R-FL-7]",03/15/2011
H.R. 6322,"To protect the safety of judges by extending the authority of the Judicial Conference to redact sensitive information contained in their financial disclosure reports, and for other purposes.","Conyers, John, Jr. [Rep.-D-MI-14]",03/14/2011
H.R. 6323,Jaime Zapata Border Enforcement Security Task Force Act,"Cuellar, Henry [Rep.-D-TX-28]",03/03/2011
H.R. 6324,United States Marshals Service 225th Anniversary Commemorative Coin Act,"Womack, Steve [Rep.-R-AR-3]",03/02/2011
H.R. 6325,To direct the Secretary of the Interior to allow for prepayment of repayment contracts between the United States and the Uintah Water Conservancy District.,"Matheson, Jim [Rep.-D-UT-2]",02/18/2011
H.R. 6326,"To designate the facility of the United States Postal Service located at 12781 Sir Francis Drake Boulevard in Inverness, California, as the ""Specialist Jake Robert Velloza Post Office"".","Woolsey, Lynn C. [Rep.-D-CA-6]",02/17/2011
H.R. 6327,"To designate the facility of the United States Postal Service located at 20 Main Street in Little Ferry, New Jersey, as the ""Sergeant Matthew J. Fenton Post Office"".","Rothman, Steven R. [Rep.-D-NJ-9]",02/17/2011
H.R. 6328,"To designate the facility of the United States Postal Service located at 1081 Elbel Road in Schertz, Texas, as the ""Schertz Veterans Post Office"".","Cuellar, Henry [Rep.-D-TX-28]",02/17/2011
H.R. 6329,Ski Area Recreational Opportunity Enhancement Act of 2011,"Bishop, Rob [Rep.-R-UT-1]",02/17/2011
H.R. 6330,Intelligence Authorization Act for Fiscal Year 2011,"Rogers, Mike J. [Rep.-R-MI-8]",02/17/2011
H.R. 6331,"To amend the Internal Revenue Code of 1986 to repeal the imposition of 3 percent withholding on certain payments made to vendors by government entities, to modify the calculation of modified adjusted gross income for purposes of determining eligibility for certain healthcare-related programs, and for other purposes.","Herger, Wally [Rep.-R-CA-2]",02/11/2011
H.R. 6332,Surface Transportation Extension Act of 2011,"Mica, John L. [Rep.-R-FL-7]",02/11/2011
H.R. 6333,FAA Modernization and Reform Act of 2012,"Mica, John L. [Rep.-R-FL-7]",02/11/2011
H.R. 6334,To redesignate the Noxubee National Wildlife Refuge as the Sam D. Hamilton Noxubee National Wildlife Refuge.,"Harper, Gregg [Rep.-R-MS-3]",02/09/2011
H.R. 6335,Belarus Democracy and Human Rights Act of 2011,"Smith, Christopher H. [Rep.-R-NJ-4]",01/26/2011
H.R. 6336,FISA Sunsets Extension Act of 2011,"Sensenbrenner, F. James, Jr. [Rep.-R-WI-5]",01/26/2011
H.R. 6337,"To clarify the jurisdiction of the Secretary of the Interior with respect to the C.C. Cragin Dam and Reservoir, and for other purposes.","Gosar, Paul A. [Rep.-R-AZ-1]",01/26/2011
H.R. 6338,HALE Scouts Act,"Boren, Dan [Rep.-D-OK-2]",01/26/2011
H.R. 6339,Hoover Power Allocation Act of 2011,"Heck, Joseph J. [Rep.-R-NV-3]",01/26/2011
H.R. 6340,"To provide for the conveyance of certain property from the United States to the Maniilaq Association located in Kotzebue, Alaska.","Young, Don [Rep.-R-AK-At Large]",01/25/2011
H.R. 6341,"To amend the Immigration and Nationality Act to toll, during active-duty service abroad in the Armed Forces, the periods of time to file a petition and appear for an interview to remove the conditional basis for permanent resident status, and for other purposes.","Lofgren, Zoe [Rep.-D-CA-16]",01/24/2011
H.R. 6342,Federal Courts Jurisdiction and Venue Clarification Act of 2011,"Smith, Lamar [Rep.-R-TX-21]",01/24/2011
H.R. 6343,Removal Clarification Act of 2011,"Johnson, Henry C. ""Hank,"" Jr. [Rep.-D-GA-4]",01/20/2011
H.R. 6344,"To provide for an additional temporary extension of programs under the Small Business Act and the Small Business Investment Act of 1958, and for other purposes.","Graves, Sam [Rep.-R-MO-6]",01/20/2011
H.R. 6345,Federal Restricted Buildings and Grounds Improvement Act of 2011,"Rooney, Thomas J. [Rep.-R-FL-16]",01/19/2011
H.R. 6346,"To designate the facility of the United States Postal Service located at 500 East Whitestone Boulevard in Cedar Park, Texas, as the ""Army Specialist Matthew Troy Morris Post Office Building"".","Carter, John R. [Rep.-R-TX-31]",01/18/2011
H.R. 6347,HEARTH Act of 2012,"Heinrich, Martin [Rep.-D-NM-1]",01/06/2011
H.R. 6348,Church Plan Investment Clarification Act,"Biggert, Judy [Rep.-R-IL-13]",01/05/2011
H.R. 6349,American Taxpayer Relief Act of 2012,"Camp, Dave [Rep.-R-MI-4]",07/24/2012
H.R. 6350,Comprehensive 1099 Taxpayer Protection and Repayment of Exchange Subsidy Overpayments Act of 2011,"Lungren, Daniel E. [Rep.-R-CA-3]",01/12/2011
H.R. 6351,Establishing the date for the counting of the electoral votes for President and Vice President cast by the electors in December 2012.,"Denham, Jeff [Rep.-R-CA-19]",12/18/2012
H.R. 6352,"Continuing Appropriations Resolution, 2013","Rogers, Harold [Rep.-R-KY-5]",09/10/2012
H.R. 6353,"Making further continuing appropriations for fiscal year 2012, and for other purposes.","Rogers, Harold [Rep.-R-KY-5]",12/16/2011
H.R. 6354,"Making further continuing appropriations for fiscal year 2012, and for other purposes.","Rogers, Harold [Rep.-R-KY-5]",12/16/2011
H.R. 6355,"Additional Continuing Appropriations Amendments, 2011","Rogers, Harold [Rep.-R-KY-5]",03/11/2011
H.R. 6356,"Further Continuing Appropriations Amendments, 2011","Rogers, Harold [Rep.-R-KY-5]",02/28/2011
H.R. 6357,"A bill to amend the Federal Water Pollution Control Act to reauthorize the Lake Pontchartrain Basin Restoration Program, to designate certain Federal buildings, and for other purposes.","Boxer, Barbara [Sen.-D-CA]",12/17/2012
H.R. 6358,A bill to make a technical correction to the Flood Disaster Protection Act of 1973.,"Johnson, Tim [Sen.-D-SD]",12/12/2012
H.R. 6359,"A bill to amend the Animal Welfare Act to modify the definition of ""exhibitor"".","Vitter, David [Sen.-R-LA]",12/06/2012
H.R. 6360,Lieutenant Ryan Patrick Jones Post Office Designation Act,"Brown, Scott P. [Sen.-R-MA]",12/05/2012
H.R. 6361,Theft of Trade Secrets Clarification Act of 2012,"Leahy, Patrick J. [Sen.-D-VT]",11/27/2012
H.R. 6362,"A bill to designate the facility of the United States Postal Service located at 218 North Milwaukee Street in Waterford, Wisconsin, as the ""Captain Rhett W. Schiller Post Office"".","Johnson, Ron [Sen.-R-WI]",11/14/2012
H.R. 6363,"A bill to change the effective date for the internet publication of certain information to prevent harm to the national security or endangering the military officers and civilian employees to whom the publication requirement applies, and for other purposes.","Lieberman, Joseph I. [Sen.-ID-CT]",09/22/2012
H.R. 6364,Military Commercial Driver's License Act of 2012,"Snowe, Olympia J. [Sen.-R-ME]",09/22/2012
H.R. 6365,Public Interest Declassification Board Reauthorization Act of 2012,"Lieberman, Joseph I. [Sen.-ID-CT]",09/19/2012
H.R. 6366,Pesticide Registration Improvement Extension Act of 2012,"Stabenow, Debbie [Sen.-D-MI]",09/13/2012
H.R. 6367,No-Hassle Flying Act of 2012,"Klobuchar, Amy [Sen.-D-MN]",09/13/2012
H.R. 6368,"A bill to prevent harm to the national security or endangering the military officers and civilian employees to whom internet publication of certain information applies, and for other purposes.","Reid, Harry [Sen.-D-NV]",08/02/2012
H.R. 6369,Patent Law Treaties Implementation Act of 2012,"Leahy, Patrick J. [Sen.-D-VT]",08/02/2012
H.R. 6370,Uninterrupted Scholars Act (USA),"Landrieu, Mary L. [Sen.-D-LA]",08/01/2012
H.R. 6371,Intelligence Authorization Act for Fiscal Year 2013,"Feinstein, Dianne [Sen.-D-CA]",07/30/2012
H.R. 6372,"A bill to provide for the use of National Infantry Museum and Soldier Center Commemorative Coin surcharges, and for other purposes.","Chambliss, Saxby [Sen.-R-GA]",06/29/2012
H.R. 6373,Intercountry Adoption Universal Accreditation Act of 2012,"Kerry, John F. [Sen.-D-MA]",06/21/2012
H.R. 6374,GAO Mandates Revision Act of 2012,"Carper, Thomas R. [Sen.-D-DE]",06/20/2012
H.R. 6375,"A bill to designate the United States courthouse located at 2601 2nd Avenue North, Billings, Montana, as the ""James F. Battin United States Courthouse"".","Baucus, Max [Sen.-D-MT]",06/19/2012
H.R. 6376,A bill to allow the Chief of the Forest Service to award certain contracts for large air tankers.,"Wyden, Ron [Sen.-D-OR]",06/04/2012
H.R. 6377,"A bill to extend by 3 years the authorization of the EB-5 Regional Center Program, the E-Verify Program, the Special Immigrant Nonminister Religious Worker Program, and the Conrad State 30 J-1 Visa Waiver Program.","Leahy, Patrick J. [Sen.-D-VT]",05/24/2012
H.R. 6378,Dignified Burial and Other Veterans' Benefits Improvement Act of 2012,"Murray, Patty [Sen.-D-WA]",05/17/2012
H.R. 6379,Barona Band of Mission Indians Land Transfer Clarification Act of 2012,"Feinstein, Dianne [Sen.-D-CA]",05/16/2012
H.R. 6380,Food and Drug Administration Safety and Innovation Act,"Harkin, Tom [Sen.-D-IA]",05/15/2012
H.R. 6381,21st Century Language Act of 2012,"Conrad, Kent [Sen.-D-ND]",04/25/2012
H.R. 6382,Department of State Rewards Program Update and Technical Corrections Act of 2012,"Kerry, John F. [Sen.-D-MA]",04/19/2012
H.R. 6383,Hatch Act Modernization Act of 2012,"Akaka, Daniel K. [Sen.-D-HI]",03/07/2012
